Index,Initiative,Power Name,Description,Type,Item,Where,Min,Max,FixedAction,FixedInitiative,Infected,Suicidal,Murderer,Predicter,Silencer,2xVote,LookPostAction,DoPower,Self-Destruct,AllowRandom,Vault,Complexity
1,10 90,Role Peek,Learn # Player''s Roles,Learn,Role,Player,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
2,10 90,Vault Peek,Learn # Center''s Roles,Learn,Role,Center,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
3,10 90,Last Look,Learn Final Role,Learn,Role,Self,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1
4,10 90,Allegiance Check,Learn # Player''s Teams,Learn,Team,Player,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
5,10 90,Vault Allegiance,Learn # Center''s Teams,Learn,Team,Center,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2
6,10 90,Roll Rolecall,Learn # Players With Role,Learn,Players,Role,1,99,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
7,10 90,Role Beacon,Learn All Players With Same Role,Learn,Players,Role Assoc.,99,99,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
8,10 90,Team Echo,Learn # Players With Same Team,Learn,Players,Team Assoc.,1,99,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
9,90,Action Trace,Learn # Players Did Action Type,Learn,Players,Type,1,99,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10,90,Action Log,Learn # Players Who Moved/Learned,Learn,Players,Action,1,99,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
11,10 90,Tactic Tell,Learn # Player Action Type,Learn,Type,Player,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
12,10 90,Role Tally,Learn up to # role are Players,Learn,Amount,Role,1,99,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
13,10 90,Team Tally,Learn up to # Team are Players,Learn,Amount,Association,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
14,10 90,Who''s Missing,Learn up to # role are Center,Learn,Amount,Role,1,99,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
15,10 90,Absentee Ballot,Learn up to # Team are Center,Learn,Amount,Association,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
16,90,Sixth Sense,Learn if # Players Were Moved,Learn,Status,Player,1,99,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
17,5 95,Expose Role,Reveal # Player Role,Reveal,Role,Player,1,99,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
18,5 95,Open Vault,Reveal # Center Role,Reveal,Role,Center,1,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3
19,5 95,Face Reveal,Reveal self,Reveal,Role,Self,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
20,5 95,Role Spotlight,Reveal # player of role,Reveal,Role,Role,1,99,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
21,50,Role Swap,Swap Two Players Roles (can use Vault),Swap,Role,Player,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
22,50,Self Swap,Swap One Players Role With Own Role (can use Vault),Swap,Role,Player,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
23,50,Swap Role Team,Swap A Player''s Role and Team,Swap,Role Team,Player,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
24,60,Swap Reversal,Swap # Swaps of Roles,Swap,Role,Role,1,99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
25,50,Team Exchange,Swap Own Team With Another Player,Swap,Team,Self,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2
26,50,Recruit,Swap another''s Team to your own,Swap,Team,Self,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3
